Particles,Iterations,Run,Result,Time_Taken,Bytes_Allocated
15,10,1,17,1.3663322,2.40191955e8
15,10,2,20,0.1702966,1.32113304e8
15,10,3,19,0.1650615,1.32092568e8
15,10,4,17,0.1690029,1.32076568e8
15,10,5,17,0.1632097,1.32072888e8
15,10,6,24,0.16665,1.32174488e8
15,10,7,21,0.1706802,1.3206412e8
15,10,8,23,0.1781547,1.32121896e8
15,10,9,20,0.1677199,1.3197652e8
15,10,10,20,0.1839312,1.32069432e8
15,20,1,22,0.3094104,2.52175832e8
15,20,2,18,0.3069182,2.51894056e8
15,20,3,21,0.3074375,2.5227036e8
15,20,4,21,0.3091746,2.5191212e8
15,20,5,20,0.2936112,2.52162152e8
15,20,6,18,0.2988878,2.52117928e8
15,20,7,23,0.3016767,2.5222612e8
15,20,8,21,0.309984,2.52313416e8
15,20,9,23,0.3148277,2.52319592e8
15,20,10,25,0.3040433,2.52438744e8
15,30,1,23,0.4478858,3.7246004e8
15,30,2,22,0.4489987,3.719782e8
15,30,3,24,0.4442011,3.72395448e8
15,30,4,21,0.4725801,3.71783128e8
15,30,5,22,0.4635497,3.72302632e8
15,30,6,20,0.4585656,3.72289384e8
15,30,7,21,0.4531439,3.723026e8
15,30,8,19,0.4474737,3.72291768e8
15,30,9,23,0.4258283,3.72165768e8
15,30,10,18,0.4531388,3.7245348e8
15,40,1,22,0.5839304,4.91767336e8
15,40,2,19,0.6078755,4.91890168e8
15,40,3,22,0.5873692,4.9257092e8
15,40,4,24,0.597678,4.92633928e8
15,40,5,21,0.5905374,4.92718248e8
15,40,6,19,0.5829904,4.92615368e8
15,40,7,22,0.5691402,4.92032008e8
15,40,8,18,0.6191324,4.92453768e8
15,40,9,16,0.5848245,4.92344408e8
15,40,10,18,0.5673431,4.91757688e8
15,50,1,21,0.7552116,6.1255436e8
15,50,2,18,0.7506538,6.1243052e8
15,50,3,23,0.7116409,6.116322e8
15,50,4,17,0.7218058,6.12573288e8
15,50,5,18,0.7063163,6.11678712e8
15,50,6,19,0.7284943,6.1257372e8
15,50,7,20,0.7525958,6.12573288e8
15,50,8,26,0.739514,6.12567304e8
15,50,9,20,0.7390291,6.11910888e8
15,50,10,23,0.7026724,6.11903736e8
